,title,label
53,디파이 줄파산 끝이더리움 중심으로 알트코인 반등,1
54,이번엔 진짜이더리움 20 9월 예고에 12 ↑,1
55,7월27일 뉴스리딩 오늘은 이더리움클래식의 갑작스런 급등 현상에 대해 알아,1
56,긴축 속도조절론에 환호비트코인이더리움솔라나 급등 후 속도 조절 GDP ,1
57,코인가십 킴 카다시안이 코인 홍보를이더리움맥스 스캠 주의보,0
58,?앤트풀 이더리움클래식 생태계에 1000만달러 투자,0
59,26일 기준지난 24시간 거래량 순위 테더비트코인이더리움리플 順,0
60,코인시황 비트코인 2만1139달러 리플 2 하락이더리움 4 급락 1409달러,-1
61,25일 9시 비트코인 2980원선 029↑이더리움 211만원 288↑,1
62,약세 뚜렷하며 비트코인이더리움솔라나 하락 완연제닛 옐런 발언 관심 ,-1
63,다시 뛰는 이더리움역시 20 기대감 크다,0
64,이더리움도 밀렸다,0
65,이더리움네임서비스 뜬다,0
66,비트코인 뛰고 이더리움 킬러 이오스 난다,0
67,비트코인이더리움 급등코인 시총 1조 달러 돌파,1
68,비트코인 2850만원대 하락이더리움 193만원대,-1
69,이더리움 1600달러선 회복ETH 20 업데이트 미니 불마켓 견인,1
70,가상화폐 시세 비트코인 2800만원선 회복도지코인 82원선 이더리움 190만,1
71,FOMC 결과 앞두고 비트코인이더리움 폭락페이코인 급등이더리움클래식 눈,0
72,7월25일 뉴스리딩 오늘은 이더리움의 머지 업그레이드 이후 전망을 알아봐,0
73,코인뉴스 비트코인 3천만 돌파 임박이더리움 영향,1
74,비트코인이더리움 깜짝 랠리에 코인베이스 9대 껑충,1
75,이더리움 클래식 왜 뛸까,0
76,솔리디티를 이용해 이더리움 스마트 계약 시작하기,0
77,코인뉴스 이더리움 거래량 늘고 비트코인은 줄고ETH 20 영향,0
78,이모저모 비탈릭 부테린 이더리움 병합 테스트 90 완료 外,0
79,어닝 피크 FOMC 거시 지표 살피며 다음주 대비비트코인이더리움솔라나,0
80,비트코인이더리움 자금 유입 강세 이어가,1
81,지난 한시간 트위터 언급 횟수 비트코인이더리움리플 順,0
82,지난 24시간 거래량 순위 테더비트코인이더리움리플 順,0
83,깊어지는 침체 신호들 비트코인과 이더리움 추세 위험해알파벳과 MS 선방,0
84,이더리움 단기 과열로 쉬어가기ETH 20 업데이트 기대감 여전,0
85,코인시황 이더리움ETH 6 오르며 210만원대 재등반,0
86,FOMC 앞두고 비트코인 주춤이더리움리플도 4대 하락,-1
87,비들아시아 2022 어젠다 웹30프라이버시확장성이더리움 20 비전 공개,0
88,코인동향 지금 상승률 높은 코인은래디클 15642↑유벤투스이더리움네,1
89,단기 추세 위협 속 비트코인이더리움 속락이슈가 관망불안 부추기고 있어,-1
90,가상화폐 시황 비트코인 2만2000달러대 등락이더리움 4↑,1
91,SK證 가상자산 반등 이더리움 20 업데이트 기대감 때문,1
92,반등 시도 중비트코인 잦은 등락이더리움솔라나웨이브리플 양호FOMC,1
93,비트코인?이더리움 깜짝 반등코인시장 회복 신호탄 되나,1
94,비트코인이더리움 속락세 보이며 솔라나웨이브리플 급락FOMC 경계감 속 ,-1
95,크립토 브리핑 2800만원대로 미끄러진 비트코인 이더리움도 190만원 위태,0
96,코인 빅데이터 암호화폐 화제성이더리움클래식ETC vs 테라클래식USDU,0
97,코인뉴스 비트코인 이더리움 덕에 3천만 돌파지속 여부는 글쎄’,1
98,3000만원 고지 내어준 비트코인 210만원 유지 이더리움,0
99,이더리움 일주일 새 43↑암호화폐 시장 청신호,1
100,이더리움 1600달러선 회복ETH 20 업데이트 미니 불마켓 견인,1
101,가상화폐 시세 비트코인 2800만원선 회복도지코인 82원선 이더리움 190만,1
102,FOMC 결과 앞두고 비트코인이더리움 폭락페이코인 급등이더리움클래식 눈,0
103,비트코인 가격 다시 오른다이더리움 일주일새 50↑,1
104,7월25일 뉴스리딩 오늘은 이더리움의 머지 업그레이드 이후 전망을 알아봐,0
105,코인뉴스 비트코인 3천만 돌파 임박이더리움 영향,1
106,비트코인이더리움 깜짝 랠리에 코인베이스 9대 껑충,1
107,이더리움 클래식 왜 뛸까,0
108,솔리디티를 이용해 이더리움 스마트 계약 시작하기,0
109,코인뉴스 이더리움 거래량 늘고 비트코인은 줄고ETH 20 영향,0
110,이모저모 비탈릭 부테린 이더리움 병합 테스트 90 완료 外,0
111,어닝 피크 FOMC 거시 지표 살피며 다음주 대비비트코인이더리움솔라나,0
112,비트코인과 이더리움 하락 커져어닝 피크 FOMC 경계감 웨이브솔라나 속,-1
113,비트코인이더리움 자금 유입 강세 이어가,1
114,지난 한시간 트위터 언급 횟수 비트코인이더리움리플 順,0
115,지난 24시간 거래량 순위 테더비트코인이더리움리플 順,0
116,깊어지는 침체 신호들 비트코인과 이더리움 추세 위험해알파벳과 MS 선방,0
117,이더리움 단기 과열로 쉬어가기ETH 20 업데이트 기대감 여전,0
118,코인시황 이더리움ETH 6 오르며 210만원대 재등반,0
119,폭풍 랠리이더리움의 시대가 오나,0
120,FOMC 앞두고 비트코인 주춤이더리움리플도 4대 하락,-1
121,9월까지 질주 예약 이더리움 전망은,0
122,비탈릭 부테린 이더리움 머지The Merge 테스트 90 완료,0
123,비들아시아 2022 어젠다 웹30프라이버시확장성이더리움 20 비전 공개,0
124,코인동향 지금 상승률 높은 코인은래디클 15642↑유벤투스이더리움네,1
125,단기 추세 위협 속 비트코인이더리움 속락이슈가 관망불안 부추기고 있어,-1
126,가상화폐 시황 비트코인 2만2000달러대 등락이더리움 4↑,1
127,SK證 가상자산 반등 이더리움 20 업데이트 기대감 때문,1
128,이더리움과 비트코인 반등세 보여거시지표 살피며 대비해야솔라나리플웨,1
129,반등 시도 중비트코인 잦은 등락이더리움솔라나웨이브리플 양호FOMC,1
130,28일 FOMC의자이언트스텝은 한미 금리역전 의미비트코인이더리움솔라나,0
131,비트코인?이더리움 깜짝 반등코인시장 회복 신호탄 되나,1
132,비트코인이더리움 속락세 보이며 솔라나웨이브리플 급락FOMC 경계감 속 ,-1
133,코인 빅데이터 암호화폐 화제성이더리움클래식ETC vs 테라클래식USDU,0
134,크립토 브리핑 2800만원대로 미끄러진 비트코인 이더리움도 190만원 위태,0
135,크게 밀려난 비트코인과 이더리움솔라나FOMC 경계 팽배추세 위협받아 거,-1
136,대항마 없다이더리움 승자 독식 이어갈 것,0
137,코인뉴스 비트코인 이더리움 덕에 3천만 돌파지속 여부는 글쎄’,1
138,3000만원 고지 내어준 비트코인 210만원 유지 이더리움,0
139,가상화폐 시세 비트코인 2900만원선 밑으로 하락도지코인 85원선 이더리,-1
140,가상화폐 시세 비트코인 2900만원선 밑으로 하락도지코인 85원선 이더리,-1
141,이더리움 일주일 새 43↑암호화폐 시장 청신호,1
142,이더리움 머지發 랠리 어디까지ETH 디플레이션 자산 될 전망,0
143,200만원 가나 이더리움 대폭등9월까지 탄탄대로,1
144,21일 9시 비트코인 3050원선 051↓이더리움 200만원 133↓,0
145,이더리움 활성지갑 개수 비트코인 앞서디파이 부상 영향,1
146,비트코인 한때 2만 4천 달러 넘어이더리움 일주일 새 50↑,1
147,코인 시세 주도하는 이더리움 20 기대감지금 들어가도 될까,0
148,이더리움과 이더리움클래식이 끌고 비트코인솔라나 따라가다음주 애플 아,0
149,나스닥 4 급등하자 비트코인 이더리움 날았다,1
150,코인시황 비트코인 급락 2만1811달러 이더리움 8 폭락연준 빅스텝 예상,-1
151,이더리움 튀어오른다9월까지는 계속,0
152,트위터와 스냅은 맛보기일 뿐다음주 거대기업 실적 예정비트코인이더리움,0
153,이더리움클래식 이더리움 순항다음주 애플아마존 실적 주목비트코인솔,1
154,비트코인 2950만원대 하락이더리움 207만원대,-1
155,이더리움 9월 비트코인 넘어선다임박한 지분증명PoS 체제 완벽 전환이 이,0
156,오늘 마이크로소프트부터 시작불안한 흐름 이어져비트코인이더리움리플,-1
157,애플과 스냅 월마트의 경고오늘 미 발표에 관심 집중이더리움비트코인,-1
158,코인만사 랠리 비트코인이더리움과 이더리움 클래식 폭등 왜,1
159,23일 기준 지난 24시간 거래량 순위 테더비트코인이더리움리플 順,0
160,23일 기준 지난 24시간 거래량 순위 테더비트코인이더리움리플 順,0
161,비트코인이더리움 반등에코인거래소채굴업체 주가도 급등,1
162,비트코인이더리움 가격 더 떨어질 여지 있어,-1
163,샘슨 모우 인터뷰③ 비트코인 독보적이더리움 이름만 탈중앙화,0
164,비트코인 3일째 2900만원 언저리 배회이더리움 동반 하락하이브 급등 ,0
165,메인은 다음주에 스냅과 트위터는 애피타이저일 뿐비트코인이더리움솔라,0
166,코인시황 비트코인 가격 2만3558달러 도지코인 2 상승?이더리움 하락 15,0
167,20일 9시 비트코인 3066원선 459↑이더리움 202만원 212↓,1
168,코인시황 이더리움ETH 200만원 박스권서 잔걸음,0
169,리퀴드 스테이킹 프로토콜 리도 이더리움 레이어2로도 확장할 것,0
170,비탈릭 이더리움 클래식 POW 채굴자들에게 훌륭한 옵션ETC 가격 상승 전,1
171,코인시황 비트코인 2 하락 2만3064달러 이더리움 2 상승 1573달러,0
172,오전 암호화폐 시세 비트코인 2900만원대이더리움 200만원대다른 코인 대,0
173,이더리움비트코인솔라나 하락세비덴트 매각 노이즈 관심 삼성전자 상승,-1
174,가상화폐 시황 비트코인 2만3000달러선 등락이더리움 35↑,1
175,지난 24시간 거래량 순위 비트코인테더리플이더리움 順,0
176,종합이더리움 PoS 전환 임박ETH 랠리 어디까지,0
177,가상화폐 시세 비트코인 3000만원선 위태도지코인 90원선 이더리움 190만,0
178,비트코인 시세 3천만 원대로 올라 이더리움 업데이트에 투자심리 살아나,1
179,비트코인이더리움 깜짝 상승코인 시총도 1조달러 넘었다,1
180,추세 붕괴 가능성 커 눈치 보기 극심한 가운데 비트코인이더리움솔라나,-1
181,아침브리핑 비탈릭 부테린 더머지 이후 이더리움은 55 완성,0
182,가상자산 겨울 끝날까 이더리움 20 업데이트 맞아 코인 급등세’,1
183,비트코인 주춤하니 이더리움 등 훨훨 우리기술투자비덴트 등 출렁,-1
184,비트코인이더리움 또 밀려나미 증시 혼조 특별 이슈 없어추세 위험 속 ,0
185,19일 9시 비트코인 2955원선 743↑이더리움 206만원 1734↑,1
186,비트코인 지루한 횡보세FOMC의자이언트스텝과 어닝 이후가 문제이더리움,-1
187,비트코인이더리움 반등 시도 미 선물 상승 전환 속 GDP  FOMC 우려 여전,1
188,소폭 밀리나 박스권 다음주 애플아마존MS 실적 주목해야 비트코인이더,1
189,이더리움 열흘 동안 45 상승주말 한때 1600달러까지,1
190,비트코인 3000만원대 결국 붕괴이더리움은 200만원대 유지,-1
191,이더리움 강력한 성과 보이는 가운데 주의 경고,-1
192,가격이 바닥이었던 7월13일 이더리움 보유자의 움직임,-1
193,이더리움 비트코인 약세 속 코스피 상승 마감 미 선물 하락 속 경계 팽배해,-1
194,점심 브리핑프리민트Premint 해킹 피해 보상50만 달러 상당 이더리,-1
195,비트코인 3000만원 회복 이더리움 일주일 간 45 급등뉴욕증시 훈풍,1
196,단기 추세 붕괴될 듯 비트코인이더리움솔라나 급락 보여금리 환율 체,-1
197,이더리움 더머지 업그레이드가 상승장 주도하나,1
198,호주 가상화폐 전문가 설문 이더리움 최고가 224만 원 예상,1
199,코인시황 비트코인 부진에도 홀로 상승하는 이더리움 326 올라,1
200,비트코인 2800만 원 회복 눈앞 이더리움 알고리즘 변경 소식에 10 급등,1
201,이더리움 해시레이트 하락 원인 특정 어려워,-1
202,추세 위협 반등 시도하나 고전 중환율  금리 살펴 FOMC 대비비트코인,0
203,18일 9시 비트코인 2747원선 138↓이더리움 176만원 087↓,0
204,이더리움 클래식과 시바이누 재미있네,0
205,비탈릭 부테린 머지 이후 갈길 멀다이더리움 완성도 40,0
206,올해 2분기 비트코인이더리움 최악의 분기 실적 기록,-1
207,코인시황 이더리움ETH 7 상승36일만에 190만원대 돌파,1
208,비트코인 3060만원대 상승이더리움 195만원대,1
209,비트코인 한때 2만 4천 달러 넘어이더리움 일주일 새 50 급등,1
210,가상화폐 시황 알트코인 상승세이더리움솔라나 12 급등,1
211,비트코인 한때 2만4천달러 넘어이더리움 일주일새 50↑,1
212,체이널리시스 이더리움 기반 금융 시스템 여전히 강세,1
213,Bit코인 이더리움 업데이트 기대감에 랠리1900달러까지 갈 것,0
214,이더리움 한달여만에 1500달러 회복했지만 투심은 여전히 부정적ETH 증권,1
215,미 증시 혼조 속 비트코인이더리움솔라나 숨 고르기 중영국 금리인상 예정,0
216,이더리움이더리움 클래식비트코인 강세FOMC와 실적 시즌 변수리플솔라,1
217,단기 추세 위험반등 시도하나 녹록치 않아 비트코인이더리움솔라나웨이브,1
218,비트코인 2만1000달러’대 소폭 하락이더리움도 내림세,-1
219,크립토 주간 브리핑 한달만에 3000만원 회복한 비트코인이더리움도 25 ,1
220,오지스 이더리움 개발 도구에 클레이튼 플러그인 지원,0
221,이더리움 투자 수익률 1년 만에 최고치가격 상승 지속 여부는 물음표,1
222,미 선물 상승FOMC와 실적시즌 주목비트코인이더리움솔라나 변동성 보여,1
223,체이널리시스 이더리움 거래량 늘자 디파이 생태계 성장했다,1
224,삼성전자SK하이닉스 하락 애플 쇼크웨이브 강세 속 비트코인이더리움,0
225,비트코인 3000만원대 재진입할까이더리움이더리움클래식페이코인 상승세,1
226,이더리움이더리움클래식 강한 상승세가상자산 시장 반등 끌어낼까,1
227,반등 후 숨 고르는 양상비트코인이더리움솔라나웨이브 하방 경직 보여,1
228,코린이톡 시세 크게 오른 이더리움20 업데이트 이번엔 진짜,0
229,가상화폐 시황 비트코인 2만3000달러 안착이더리움 일주일새 50↑,1
230,가상화폐 시황 비트코인 2만3000달러 안착이더리움 일주일새 50↑,1
231,테슬라 넷플릭스 효과로 미 상승유가금리 체크해야 비트코인과 이더리,1
232,코스모스 온체인 투자 프로토콜 소멜리어 이더리움 아베 기반 셀라 출시,1
233,가상화폐 시세 이더리움 클래식 12 상승 20 업데이트 예고,1
234,실적 시즌 파고에 동조 예상비트코인이더리움솔라나 강세세계 증시 호조,1
235,이더리움 4 급등 1404달러 백만장자 ETH 고래 131마리 출현,1
236,가상화폐 시세 비트코인 3000만원선 회복도지코인 92원선 이더리움 200만,1
237,코인 빅데이터 머지 업그레이드 후 치열한 시총 1위 경쟁 예고비트코인,1
238,이더리움 9월 메인넷 PoS 병합 기대감에 랠리ETH 가격 폭등할 것 낙관론,1
239,미 선물 상승세 비트코인이더리움솔라나 지지부진해금주 이벤트 경계감,1
240,미 선물 상승세 비트코인이더리움솔라나 지지부진해금주 이벤트 경계감,1
241,ETH 랠리 지속 40여일만에 1600달러 돌파이더리움 PoS 통합 후 수익률 ,1
242,이더리움이더리움 클래식 초강세유가환율 안정적 비트코인리플솔라나,1
243,코인시황 비트코인 2800만원대로 소폭 하락이더리움 지난주보다 43 급등,0
244,비트코인 4 급등 2만2220달러 돌파 이더리움 9 폭등,1
245,크립토 브리핑 반등 시작 이더리움 200만원 재돌파비트코인도 3000만원,1
246,이더리움 PoS 전환 두 달 앞두고 일주일새 45 급등,1
247,비트코인 테슬라 악재에 3000만원대 간신히 방어이더리움은 200만원대 유,-1
248,이더리움 20 9월 예고에 가격 들썩전설적 트레이더 ETH 최근 랠리 의,0
249,이더리움의 한계 넘겠다게임 체인저’ 노리는 3세대 블록체인 프로젝트,0
250,이더리움의 한계 넘겠다게임 체인저’ 노리는 3세대 블록체인 프로젝트,0
251,이해붕 업비트 센터장 비트코인 이더리움 제외한 나머지는 보조 자산,0
252,암호화폐 전문가 53명 이더리움 연말 1700달러 도달 전망43 지금이 ET,0
253,코인시황 비트코인 1 하락 2만979달러 이더리움↑1356달러,0
254,오전 급등?이더리움 클래식?무슨 코인인가,1
255,이더리움 개발자들 PoW→PoS 전환 일정 논의9월 19일 제안,0
256,이더리움비트코인 크게 되밀려삼성전자 하락 마감유가환율 체크솔라나,-1
257,블록체인핫이슈 9월 이더리움 PoW에서 PoS 전환되나,0
258,이더리움 레이어2 스타크웨어 자체 거버넌스 토큰 발행한다,0
259,가상화폐 시황 2만1000달러 넘은 비트코인이더리움은 11↑,1
260,가상화폐 시황 2만1000달러 넘은 비트코인이더리움은 11↑,1
261,애플과 MS아마존 대기 중비트코인과 이더리움솔라나 조정 후 안정 되찾아,0
262,이더리움 클래식이더리움 폭등세애플 고용 축소 비트코인솔라나웨이브,1
263,이더리움이더리움 클래식비트코인 한풀 꺾여유가환율 체크 필수웨이브,0
264,자체 메인넷 만드는 위메이드컴투스이더리움 아성에 도전장,0
265,비트코인 단기 랠리이더리움 클래식 9월까지 상승,1
266,위지트 비트코인이더리움 부활에 주가 덩달아 상승,1
267,비트코인 2만4000달러 돌파 이더리움 7일 동안 53 폭등,1
268,FOMC 이후 시황에 대한 카더라 난무지표에 충실해야비트코인이더리움,0
269,블록렌즈 비트코인과 리플 사이동네북 된 이더리움,0
270,블록렌즈 비트코인과 리플 사이동네북 된 이더리움,0
271,변동성 보이는 시장 비트코인이더리움 주춤해거시지표 챙겨야 웨이브,-1
272,FOMC 이후 시황에 대한 카더라 난무지표에 충실해야비트코인이더리움,0
273,이더리움 20 업데이트 기대감에 1500달러선 돌파코마캡 커뮤니티 월말,1
274,비트코인 2060만원대 상승이더리움 202만원대,1
275,스냅과 트위터 충격미 증시 하락 비트코인 조정 보여변동성 커지며 이더,-1
276,15일 9시 비트코인 2714원선 201↑이더리움 157만원 713↑,1
277,조정 받지만 하방 경직 강해애플아마존MS 실적과 FOMC 초미의 관심비트,0
278,오지스 이더리움 개발 툴에 클레이튼 연결용 플러그인 개발,0
279,가상화폐 시황 비트코인 2만1000달러 하회이더리움 일주일간 16↑,1
280,뒤숭숭한 비트코인 3000만원 유지할까비트코인골드 20 오르고 이더리움클,0
281,ET단상이더리움의 PoS 기술적 퇴보,0
282,포토 NFT 크립토펑크 4156 2691 이더리움ETH에 팔려,0
283,비트코인이더리움 반등세증산에 에너지 가격 안정 기대감솔라나리플 상,1
284,비탈릭 부테린 KBW서 이더리움20 전략 공개한다,0
285,오전 암호화폐 시세 이더리움클래식↑다른 코인도 상승세,1
286,비트코인이더리움 급등 코인 시총 1조달러 돌파,1
287,오전 암호화폐 시세 비트코인 3000만원대이더리움 200만원대다른 코인 대,0
288,코인 빅데이터 이더리움 추격자 아발란체AVAX vs 알고랜드ALGO 트렌드,1
289,이더리움비트코인 반등 재시도유가환율금리 체크할 것지수 선물 강세,1
290,이더리움비트코인 반등 재시도유가환율금리 체크할 것지수 선물 강세,1
291,비트코인 2920만원대 하락이더리움 205만원대,-1
292,사우디 증산 예정비트코인 2만1300달러 돌파유가환율 살펴야이더리움,1
293,이더리움 창시자 비탈릭 부테린 8월 방한이더리움 20 소개한다,0
294,가상화폐 시세 비트코인 2700만원선도지코인 85원선 이더리움 180만원선,0
295,코인시황 이더리움클래식 빗썸서 11대 급등거래금액 3위,1
296,코인 빅데이터 메인넷 PoS 병합 기대감↑이더리움ETH vs 이더리움클래,1
297,ECB 50bp 금리인상 단행 비트코인이더리움 소폭 밀려미 선물 혼조리플,0
298,비트코인이더리움솔라나리플 하방압력내주 애플 아마존 실적 매우 중요,0
299,석유 증산 해갈될까금리유가환율 추이 체크 필수비트코인이더리움솔라,0
300,비트코인이더리움솔라나리플 하방압력내주 애플 아마존 실적 매우 중요,0
301,석유 증산 해갈될까금리유가환율 추이 체크 필수비트코인이더리움솔라,0
302,헥슬란트 이더리움 지갑 주소 CA→EOA 변경 지원,0
303,올해 2분기 693 폭락한 이더리움,-1
304,비트코인이더리움 반등 이유 있었네투심도 소폭 회복,1
305,삼성전자 강세코스피 상승이더리움비트코인솔라나리플 박스권 유지 환,1
306,이더리움 비트코인 안정적 흐름삼성전자 하락세유가환율 체크해야웨,-1
307,13일 9시 비트코인 2569원선 289↓이더리움 137만원 519↓,0
308,세가지 염두에 둬야비트코인이더리움솔라나리플 저녁 들어 하락세다음,-1
309,경기 침체는 호재 악재 뒤섞여 있지만 불황 징조 보여비트코인이더리움,0
310,세가지 염두에 둬야비트코인이더리움솔라나리플 저녁 들어 하락세다음,-1
311,이더리움비트코인 안정적인 흐름유럽과 미 선물 하락테슬라 노이즈 시끌,-1
312,13일 9시 비트코인 2569원선 289↓이더리움 137만원 519↓,0
313,경기 침체는 호재 악재 뒤섞여 있지만 불황 징조 보여비트코인이더리움,0
314,코인시황 비트코인 8 폭등 2만3536달러 이더리움 5 상승 1572달러,1
315,비트코인 3100만원대 올라서며 20일새 25 올라이더리움은 같은 기간 55 ,1
316,비트코인 3000만원선 뚫나이더리움클래식 급등세,1
317,오전 암호화폐 시세 비트코인 2800만원대이더리움 190만원대다른 코인 대,0
318,미 선물 낙폭 축소 비트코인이더리움 랠리유가환율 체크하며 어닝 준비,0
319,오전 암호화폐 시세 비트코인 3000만원대이더리움 200만원대다른 코인 대,0
320,미 선물 낙폭 축소 비트코인이더리움 랠리유가환율 체크하며 어닝 준비,0
321,변동성 커져 비트코인이더리움리플솔라나 숨고르기삼성전자 하락 ,-1
322,오전 암호화폐 시세 비트코인 3000만원대이더리움 200만원대다른 코인 대,0
323,비트코인 20 이더리움 6월 저점 80 랠리 어둠의 터널 벗어나나,0
324,테슬라 폭등과 달러 약세 비트코인이더리움솔라나 상승세 ECB 충격 미,1
325,비트코인이더리움웨이브솔라나 조금 밀려FOMC까지 박스권 예상환율금,0
326,비트코인 2750만원대 하락이더리움 177만원대,-1
327,비트코인 보합세이더리움클래식 코인 14이상 급등,1
328,코인시황 이더리움ETH 회복세 접어들었나140만원선 방어,1
329,코어닥스 리서치센터 비트코인 이더리움 추가 하락 가능성 시사,-1
330,비트코인이더리움리플 무난한 흐름 유가환율 체크미 선물 하락 속 샌,-1
331,코어닥스 리서치센터 비트코인 이더리움 추가 하락 가능성 시사,-1
332,비트코인이더리움 급여로 지급 받는다,0
333,이더리움 130만원대에 거래,0
334,12일 9시 비트코인 2646원선 005↓이더리움 145만원 007↓,0
335,금리유가환율 등 불확실성 커비트코인이더리움솔라나리플 좁은 횡보,-1
336,기술적 반등 수준비트코인이더리움솔라나리플웨이브 밀려나환율 등 거,1
337,비트코인 2만3600달러 돌파미국 특별한 이벤트 없어이더리움솔라나웨이,1
338,가상화폐 비트코인 66일 만에 3000만원대 이더리움 37일 만에 200만원대 회,0
339,상반기 암호화폐 거래량 60가 4050비트코인리플이더리움 順,0
340,거시 지표 살피며 대응해야FOMC까지 제한된 흐름 예상비트코인이더리움,0
341,가상화폐 비트코인 66일 만에 3000만원대 이더리움 37일 만에 200만원대 회,0
342,130만원대까지 떨어진 이더리움,0
343,상반기 암호화폐 거래량 60가 4050비트코인리플이더리움 順,0
344,코어닥스 비트코인 이더리움 추가 하락할 것,-1
345,6월 솔라나 활성 주소 수 비트코인이더리움 추월SOL 소폭 반등,1
346,포토 NFT 크립토펑크 4464 2500 이더리움ETH에 팔려,0
347,이더리움이더리움 클래식비트코인 돋보여삼성전자SK하이닉스 상승 비트,1
348,가상화폐 시세 비트코인 3000만원선 회복도지코인 90원선 이더리움 200만,1
349,11일 9시 비트코인 2733원선 304↓이더리움 153만원 359↓,0
350,코어닥스 리서치센터 비트코인?이더리움 추가 하락 가능성 시사,-1
351,가상화폐 시세 비트코인 3000만원선 회복도지코인 90원선 이더리움 200만,1
352,11일 9시 비트코인 2733원선 304↓이더리움 153만원 359↓,0
353,오지스 이더리움 개발 툴에 클레이튼 네트워크 연결 지원,0
354,이더리움비트코인솔라나리플 낙폭 커져유가환율금리 체크 필수 극,0
355,장중 비트코인이더리움 랠리미국증시 코인베이스 주가 급등,1
356,비트코인이더리움 강세 지속 세계 증시 호조실적시즌 관심 커져 이더리,1
357,ECB와 SEC 영향 미미해비트코인이더리움솔라나 박스권 지속현대차 상승,1
358,이더리움 클래식 지난 7일간 80 넘게 급등전문가 ETC 강세 지속엔 글쎄,1
